stage,B365H,B365D,B365A,Home/Away win,competence_difference
1,1.67,3.6,5.5,-1,0.0
1,3.2,3.25,2.3,-1,0.0
1,2.63,3.3,2.7,-1,0.0
1,3.6,3.25,2.1,-1,0.0
1,2.25,3.25,3.25,-1,0.0
1,2.63,3.2,2.75,-1,0.0
1,1.91,3.3,4.33,1,0.0
1,1.17,6.5,21.0,1,0.0
1,1.2,6.0,17.0,1,0.0
1,3.2,3.25,2.3,1,0.0
2,1.73,3.6,5.25,-1,1.5
2,6.5,4.0,1.53,-1,0.0
2,2.0,3.3,4.0,1,0.0
2,3.75,3.5,2.0,-1,-1.5
2,9.5,5.0,1.33,1,-1.5
2,1.25,5.5,13.0,1,-1.5
3,2.6,3.25,2.8,1,0.0
3,2.3,3.2,3.25,0,0.0
3,1.33,4.5,12.0,1,0.0
3,6.5,4.0,1.53,-1,0.0
3,2.1,3.25,3.75,1,1.0
3,1.17,7.0,19.0,1,2.0
3,6.5,3.8,1.57,-1,0.0
3,3.4,3.3,2.2,1,0.0
3,3.1,3.25,2.38,-1,0.0
3,1.44,4.2,8.0,-1,1.0
4,1.14,8.0,21.0,1,0.75
4,2.38,3.25,3.2,1,-0.5
4,7.0,4.0,1.53,-1,-0.75
4,2.1,3.3,3.6,0,0.0
4,2.2,3.3,3.5,0,-1.5
4,1.36,4.75,9.0,1,1.25
4,2.2,3.3,3.5,1,-0.75
4,6.5,3.8,1.57,-1,-1.5
4,1.73,3.6,5.25,1,-0.75
4,1.73,3.6,5.25,1,0.0
5,2.6,3.2,2.8,-1,0.0
5,1.75,3.5,5.0,1,0.4
5,3.1,3.4,2.3,-1,0.6
5,2.3,3.25,3.25,1,-0.8
5,9.0,4.5,1.4,-1,-1.0
5,1.83,3.5,4.5,1,-0.6
5,1.2,6.5,15.0,1,0.0
5,2.88,3.25,2.5,1,0.0
5,3.4,3.25,2.25,-1,-0.4
5,2.6,3.2,2.8,1,0.0
6,1.4,4.2,10.0,1,1.5
6,6.5,4.0,1.53,-1,-0.3333333333333333
6,1.25,5.5,13.0,1,0.5
6,2.1,3.25,3.75,0,-0.6666666666666666
6,2.4,3.25,3.0,-1,0.0
6,2.88,3.25,2.5,1,-0.5
6,1.8,3.3,5.0,1,0.3333333333333333
6,1.57,4.0,6.0,1,0.0
6,2.5,3.25,2.88,1,-0.8333333333333334
6,1.5,4.0,7.0,1,0.5
7,1.14,7.5,23.0,1,1.1428571428571428
7,1.33,5.0,10.0,1,0.42857142857142855
7,10.0,5.0,1.33,1,-1.7142857142857142
7,8.5,4.5,1.4,-1,-1.0
7,4.2,3.4,1.91,-1,-1.2857142857142858
7,6.5,4.0,1.53,-1,-0.42857142857142855
7,3.1,3.25,2.38,1,-1.1428571428571428
7,2.2,3.25,3.4,-1,0.42857142857142855
7,1.73,3.6,5.0,1,0.2857142857142857
7,1.44,4.33,7.5,1,0.7142857142857143
8,2.88,3.3,2.5,1,-0.625
8,3.8,3.6,1.95,0,-1.0
8,2.3,3.25,3.2,1,0.25
8,2.0,3.4,3.8,-1,0.875
8,1.2,6.5,15.0,0,0.75
8,2.1,3.3,3.6,1,0.375
8,2.2,3.25,3.4,0,-0.25
8,1.2,6.5,15.0,1,1.0
8,1.57,4.0,6.0,0,0.5
8,2.75,3.25,2.63,0,-0.375
9,4.5,3.6,1.8,1,-0.8888888888888888
9,4.5,3.5,1.83,-1,-1.4444444444444444
9,4.2,3.4,1.91,1,-0.2222222222222222
9,2.1,3.3,3.6,1,0.1111111111111111
9,1.2,5.5,13.0,1,1.2222222222222223
9,1.44,4.2,6.5,0,0.6666666666666666
9,1.17,7.0,19.0,1,1.2222222222222223
9,1.73,3.6,5.0,1,-0.5555555555555556
9,5.0,3.6,1.73,0,-0.7777777777777778
9,1.67,3.6,5.5,1,0.3333333333333333
10,1.44,4.33,7.5,-1,0.7
10,1.2,6.5,15.0,1,1.1
10,2.5,3.3,2.88,-1,0.2
10,2.6,3.2,2.8,0,0.4
10,3.5,3.2,2.2,0,-0.8
10,2.9,3.25,2.5,1,-0.9
10,3.0,3.25,2.4,1,-0.7
10,1.44,4.2,8.0,0,0.4
10,2.63,3.25,2.75,1,-0.6
10,7.0,4.2,1.5,0,-1.3
11,2.0,3.3,4.0,0,0.6363636363636364
11,1.91,3.4,4.2,0,0.5454545454545454
11,9.0,4.33,1.4,-1,-1.1818181818181819
11,1.57,4.0,6.0,1,0.2727272727272727
11,1.91,3.4,4.2,1,0.36363636363636365
11,4.2,3.4,1.91,1,-0.36363636363636365
11,1.17,7.0,19.0,1,1.0909090909090908
11,2.38,3.3,3.0,1,-0.8181818181818182
11,2.5,3.25,2.88,0,-0.2727272727272727
11,4.33,3.6,1.83,0,-0.7272727272727273
2,2.75,3.3,2.63,1,1.5
12,9.0,4.75,1.36,-1,-1.25
12,1.57,3.75,6.5,1,0.16666666666666666
12,1.33,4.75,11.0,0,0.3333333333333333
12,2.1,3.4,3.6,1,0.25
12,1.8,3.5,4.75,1,0.5833333333333334
12,2.0,3.25,4.0,1,0.16666666666666666
12,2.4,3.3,3.0,-1,-0.4166666666666667
12,2.25,3.2,3.4,0,-0.3333333333333333
12,2.75,3.3,2.6,1,-0.6666666666666666
12,1.36,4.5,10.0,0,0.5833333333333334
13,6.0,3.75,1.62,1,-0.8461538461538461
13,3.4,3.3,2.2,0,-0.38461538461538464
13,1.17,7.0,19.0,1,1.5384615384615385
13,2.5,3.2,2.9,1,-0.46153846153846156
13,2.88,3.25,2.5,0,0.07692307692307693
13,1.4,4.5,9.0,1,0.5384615384615384
13,1.91,3.4,4.2,0,-0.07692307692307693
13,1.44,4.33,8.0,1,0.6153846153846154
13,2.1,3.4,3.5,1,0.6923076923076923
13,2.25,3.2,3.4,-1,-0.15384615384615385
17,3.5,3.3,2.15,1,-0.35294117647058826
2,2.1,3.3,3.6,1,1.5
14,1.29,5.5,11.0,0,0.6428571428571429
14,1.8,3.6,4.5,1,-0.42857142857142855
14,1.91,3.4,4.2,0,-0.21428571428571427
14,2.5,3.25,2.88,0,-0.21428571428571427
14,2.4,3.4,2.9,1,-0.42857142857142855
14,10.0,4.5,1.36,-1,-1.5
14,1.91,3.5,4.2,0,0.5
14,3.5,3.4,2.1,-1,-0.14285714285714285
14,2.7,3.2,2.7,-1,-0.35714285714285715
14,2.4,3.2,3.1,-1,-0.35714285714285715
15,4.2,3.4,1.91,1,-0.9333333333333333
15,1.29,5.0,13.0,1,0.5333333333333333
15,2.1,3.3,3.6,-1,-0.06666666666666667
15,8.0,4.2,1.44,-1,-1.1333333333333333
15,1.91,3.4,4.2,1,-0.6666666666666666
15,5.25,3.8,1.67,0,-0.4
15,1.44,4.33,7.5,1,0.6666666666666666
15,2.38,3.25,3.1,1,-0.13333333333333333
15,2.88,3.25,2.5,0,-0.5333333333333333
15,2.1,3.3,3.6,1,-0.06666666666666667
16,2.8,3.25,2.6,0,-0.3125
16,1.5,4.2,7.0,-1,0.5
16,1.25,5.5,15.0,0,1.0625
16,1.8,3.5,4.75,0,0.625
16,1.25,5.75,13.0,-1,0.875
16,2.1,3.3,3.6,1,0.4375
16,4.5,3.6,1.8,0,-0.8125
16,2.1,3.3,3.6,0,0.1875
16,2.63,3.25,2.75,0,-0.3125
16,2.2,3.3,3.4,-1,-0.4375
17,1.17,7.0,19.0,1,1.0588235294117647
17,2.88,3.3,2.5,-1,-0.47058823529411764
17,2.25,3.3,3.25,1,-0.058823529411764705
17,2.2,3.25,3.4,1,0.29411764705882354
17,1.14,8.0,19.0,1,1.5294117647058822
17,1.33,4.75,11.0,1,0.35294117647058826
17,2.25,3.3,3.25,1,0.058823529411764705
17,7.0,4.2,1.5,0,-0.9411764705882353
18,1.4,4.33,9.0,1,0.4444444444444444
18,3.3,3.4,2.2,-1,-0.6111111111111112
18,6.5,4.0,1.57,1,-0.7777777777777778
18,1.53,4.0,7.0,1,0.2777777777777778
18,5.5,4.0,1.62,1,-0.8888888888888888
18,1.22,6.0,15.0,1,1.0
18,8.5,4.5,1.4,0,-1.4444444444444444
18,2.1,3.3,3.6,1,-0.16666666666666666
18,1.83,3.5,4.5,0,-0.3888888888888889
19,1.29,5.5,11.0,1,0.42105263157894735
19,2.38,3.3,3.0,0,0.10526315789473684
19,2.3,3.25,3.2,0,0.0
19,2.1,3.3,3.6,1,0.05263157894736842
19,2.38,3.3,3.0,0,0.0
19,6.5,3.8,1.57,0,-0.6842105263157895
19,1.44,4.33,7.5,1,0.2631578947368421
19,2.8,3.4,2.5,0,-0.3684210526315789
19,8.0,4.2,1.4,-1,-1.0526315789473684
19,1.73,3.5,5.0,1,0.15789473684210525
20,1.44,4.2,8.0,1,0.8
20,2.4,3.25,3.0,-1,-0.25
20,1.57,3.8,6.5,1,0.1
20,2.1,3.3,3.6,0,-0.1
20,1.36,4.5,10.0,1,0.75
20,4.5,3.6,1.8,-1,-0.65
20,2.8,3.25,2.6,-1,0.25
20,1.8,3.6,4.75,0,0.05
20,1.2,6.5,15.0,1,1.0
20,6.5,4.0,1.53,-1,-1.35
17,2.63,3.25,2.75,1,-0.11764705882352941
21,1.4,4.5,8.5,0,0.9047619047619048
21,6.5,3.6,1.62,0,-0.5238095238095238
21,1.44,4.33,8.0,1,0.6666666666666666
22,1.25,6.0,11.0,0,0.8181818181818182
22,1.17,7.0,17.0,1,1.0454545454545454
22,2.88,3.25,2.5,1,-0.5454545454545454
22,1.22,6.0,15.0,1,0.9090909090909091
22,2.3,3.25,3.2,-1,0.09090909090909091
22,3.5,3.2,2.2,0,-0.5
22,6.5,4.0,1.53,-1,-1.1818181818181819
22,2.4,3.25,3.0,1,-0.4090909090909091
22,1.53,3.8,7.0,0,0.9090909090909091
2,1.22,5.5,17.0,1,1.5
21,2.4,3.25,3.0,1,-0.19047619047619047
23,1.14,6.5,15.0,1,1.173913043478261
23,5.5,3.6,1.67,0,-0.6521739130434783
23,1.57,3.75,6.5,1,0.34782608695652173
23,2.5,3.25,2.88,0,-0.21739130434782608
23,1.8,3.6,4.5,1,-0.08695652173913043
23,1.67,3.6,5.5,1,0.13043478260869565
23,1.22,6.0,15.0,1,0.5652173913043478
23,1.95,3.4,4.0,1,0.043478260869565216
23,3.2,3.25,2.3,0,-0.391304347826087
24,2.1,3.3,3.6,0,-0.2916666666666667
24,3.0,3.3,2.38,-1,-0.375
24,1.44,4.33,7.5,1,0.6666666666666666
24,2.25,3.25,3.25,0,-0.125
24,2.7,3.2,2.7,-1,-0.4166666666666667
24,13.0,5.0,1.29,-1,-1.2916666666666667
24,3.1,3.25,2.38,0,-0.20833333333333334
24,1.29,5.0,13.0,1,1.0
24,2.6,3.25,2.8,-1,-0.041666666666666664
24,2.0,3.4,3.8,0,-0.041666666666666664
21,13.0,5.0,1.29,0,-1.2857142857142858
21,1.67,3.5,6.0,1,0.6190476190476191
25,2.0,3.4,3.8,0,0.16
25,2.1,3.3,3.6,0,-0.04
25,2.6,3.25,2.8,1,0.0
25,2.25,3.3,3.25,0,-0.32
25,5.5,3.4,1.73,1,-0.84
25,1.83,3.5,4.33,1,0.24
25,2.3,3.1,3.4,1,0.0
25,1.13,8.5,23.0,1,1.52
25,1.8,3.6,4.5,1,0.24
25,1.8,3.4,5.0,1,0.52
26,1.44,4.2,8.0,1,0.7307692307692307
26,2.4,3.25,3.0,0,-0.5
26,1.73,3.5,5.25,1,0.2692307692307692
26,2.2,3.3,3.4,0,-0.2692307692307692
26,2.25,3.3,3.25,1,-0.7307692307692307
26,5.0,3.6,1.73,1,-0.8846153846153846
26,4.2,3.5,1.91,0,-0.46153846153846156
26,1.83,3.5,4.5,1,0.15384615384615385
26,2.1,3.3,3.6,1,0.19230769230769232
26,4.2,3.4,1.91,1,-0.7307692307692307
23,3.1,3.2,2.38,0,-0.5217391304347826
