io,tu,lui/lei,noi,voi,loro,Definition,io mi,tu ti,lui/lei si,noi ci,voi vi,loro si,"A me, mi","A te, ti","A lui/lei/egli, gli","A noi, ci","A voi, vi","A loro/essi, gli"
sono,sei,è,siamo,siete,sono,To be,,,,,,,,,,,,
ho,hai,ha,abbiamo,avete,hanno,To have,,,,,,,,,,,,
voglio,vuoi,vuole,vogliamo,volete,vogliono,To want,,,,,,,,,,,,
faccio,fai,fa,facciamo,fate,fanno,To do,,,,,,,,,,,,
dico,dici,dice,diciamo,dite,dicono,To say,,,,,,,,,,,,
capisco,capisci,capisce,capiamo,capite,capiscono,To understand,,,,,,,,,,,,
so,sai,sa,sappiamo,sapete,sanno,To know,,,,,,,,,,,,
spiego,spieghi,spiega,spieghiamo,spiegate,spiegano,To explain,,,,,,,,,,,,
esco,esci,esce,usciamo,uscite,escono,To exit,,,,,,,,,,,,
vado,vai,va,andiamo,andate,vanno,To go,,,,,,,,,,,,
vengo,vieni,viene,veniamo,venite,vengono,To come,,,,,,,,,,,,
posso,puoi,può,possiamo,potete,possono,"Can, to be able to",,,,,,,,,,,,
devo,devi,deve,dobbiamo,dovete,devono,Must,,,,,,,,,,,,
preferisco,preferisci,preferisce,preferiamo,preferite,preferiscono,To prefer,,,,,,,,,,,,
bevo,bevi,beve,beviamo,bevete,bevono,To drink,,,,,,,,,,,,
salgo,sali,sale,saliamo,salite,salgono,To go up,,,,,,,,,,,,
rimango,rimani,rimane,rimaniamo,rimanete,rimangono,To stay,,,,,,,,,,,,
muoio,muori,muore,moriamo,morite,muoiono,To die,,,,,,,,,,,,
finisco,finisci,finisce,finiamo,finite,finiscono,To finish,,,,,,,,,,,,
vedo,vedi,vede,vediamo,vedete,vedono,To see,,,,,,,,,,,,
leggo,leggi,legge,leggiamo,leggete,leggono,To read,,,,,,,,,,,,
nasco,nasci,nasce,nasciamo,nascete,nascono,To be born,,,,,,,,,,,,
chiedo,chiedi,chiede,chiediamo,chiedete,chiedono,To ask,,,,,,,,,,,,
rispondo,rispondi,risponde,rispondiamo,rispondete,rispondono,To reply,,,,,,,,,,,,
conosco,conosci,conosce,conosciamo,conoscete,conoscono,To know,,,,,,,,,,,,
metto,metti,mette,mettiamo,mettete,mettono,To put,,,,,,,,,,,,
apro,apri,apre,apriamo,aprite,aprono,To open,,,,,,,,,,,,
perdo,perdi,perde,perdiamo,perdete,perdono,To lose,,,,,,,,,,,,
vivo,vivi,vive,viviamo,vivete,vivono,To live,,,,,,,,,,,,
cuocio,cuoci,cuoce,cuociamo,cuocete,cuociono,To cook,,,,,,,,,,,,
scendo,scendi,scende,scendiamo,scendete,scendono,To go down,,,,,,,,,,,,
scrivo,scrivi,scrive,scriviamo,scrivete,scrivono,To write,,,,,,,,,,,,
prendo,prendi,prende,prendiamo,prendete,prendono,To take,,,,,,,,,,,,
rompo,rompi,rompe,rompiamo,rompete,rompono,To break,,,,,,,,,,,,
corro,corri,corre,corriamo,correte,corrono,To run,,,,,,,,,,,,
vinco,vinci,vince,vinciamo,vincete,vincono,To win,,,,,,,,,,,,
traduco,traduci,traduce,traduciamo,traducete,traducono,To translate,,,,,,,,,,,,
chiudo,chiudi,chiude,chiudiamo,chiudete,chiudono,To close,,,,,,,,,,,,
accendo,accendi,accende,accendiamo,accendete,accendono,To switch on,,,,,,,,,,,,
cresco,cresci,cresce,cresciamo,crescete,crescono,To grow up,,,,,,,,,,,,
spingo,spingi,spinge,spingiamo,spingete,spingono,To push,,,,,,,,,,,,
,,,,,,To apologize,scuso,scusi,scusa,scusiamo,scusate,scusano,,,,,,
,,,,,,To be called,chiamo,chiami,chiama,chiamiamo,chiamate,chiamano,,,,,,
,,,,,,To have fun,diverto,diverti,diverte,divertiamo,divertite,divertono,,,,,,
,,,,,,To get used to,abituo,abitui,abitua,abituiamo,abituate,abituano,,,,,,
,,,,,,To behave,comporto,comporti,comporta,comportiamo,comportate,comportano,,,,,,
,,,,,,To like,,,,,,,piace,piace,piace,piace,piace,piace
,,,,,,To be sorry,,,,,,,dispiace,dispiace,dispiace,dispiace,dispiace,dispiace
,,,,,,To miss,,,,,,,manca,manca,manca,manca,manca,manca
,,,,,,To interest,,,,,,,interessa,interessa,interessa,interessa,interessa,interessa
,,,,,,To seem,,,,,,,sembra,sembra,sembra,sembra,sembra,sembra
amo,ami,ama,amiamo,amate,amano,To love,,,,,,,,,,,,
mangio,mangi,mangia,mangiamo,mangiate,mangiano,To eat,,,,,,,,,,,,
ascolto,ascolti,ascolta,ascoltiamo,ascoltate,ascoltano,To listen,,,,,,,,,,,,
parlo,parli,parla,parliamo,parlate,parlano,To speak,,,,,,,,,,,,
ordino,ordini,ordina,ordiniamo,ordinate,ordinano,To order,,,,,,,,,,,,
cerco,cerchi,cerca,cerchiamo,cercate,cercano,To look for,,,,,,,,,,,,
penso,pensi,pensa,pensiamo,pensate,pensano,To think,,,,,,,,,,,,
incontro,incontri,incontra,incontriamo,incontrate,incontrano,To meet,,,,,,,,,,,,
porto,porti,porta,portiamo,portate,portano,To bring,,,,,,,,,,,,
tocco,tocchi,tocca,tocchiamo,toccate,toccano,To touch,,,,,,,,,,,,
guardo,guardi,guarda,guardiamo,guardate,guardano,To watch,,,,,,,,,,,,
torno,torni,torna,torniamo,tornate,tornano,To return,,,,,,,,,,,,
trovo,trovi,trova,troviamo,trovate,trovano,To find,,,,,,,,,,,,
do,di,da,diamo,date,dano,To give,,,,,,,,,,,,
abito,abiti,abita,abitiamo,abitate,abitano,To live in,,,,,,,,,,,,
spero,speri,spera,speriamo,sperate,sperano,To hope,,,,,,,,,,,,
aspetto,aspetti,aspetta,aspettiamo,aspettate,aspettano,To wait,,,,,,,,,,,,
pranzo,pranzi,pranza,pranziamo,pranzate,pranzano,To have lunch,,,,,,,,,,,,
ceno,ceni,cena,ceniamo,cenate,cenano,To have dinner,,,,,,,,,,,,
telefono,telefoni,telefona,telefoniamo,telefonate,telefonano,To phone,,,,,,,,,,,,
compro,compri,compra,compriamo,comprate,comprano,To buy,,,,,,,,,,,,
pago,pagi,paga,pagiamo,pagate,pagano,To pay,,,,,,,,,,,,
entro,entri,entra,entriamo,entrate,entrano,To enter,,,,,,,,,,,,
lavoro,lavori,lavora,lavoriamo,lavorate,lavorano,To work,,,,,,,,,,,,
studio,studi,studia,studiamo,studiate,studiano,To study,,,,,,,,,,,,
mando,mandi,manda,mandiamo,mandate,mandano,To send,,,,,,,,,,,,
lascio,lasci,lascia,lasciamo,lasciate,lasciano,"To leave, to let",,,,,,,,,,,,
saluto,saluti,saluta,salutiamo,salutate,salutano,To greet,,,,,,,,,,,,
uso,usi,usa,usiamo,usate,usano,To use,,,,,,,,,,,,
visito,visiti,visita,visitiamo,visitate,visitano,To visit,,,,,,,,,,,,
cammino,cammini,cammina,camminiamo,camminate,camminano,To walk,,,,,,,,,,,,
inizio,inizi,inizia,iniziamo,iniziate,iniziano,To start,,,,,,,,,,,,
imparo,impari,impara,impariamo,imparate,imparano,To learn,,,,,,,,,,,,
cambio,cambi,cambia,cambiamo,cambiate,cambiano,To change,,,,,,,,,,,,
guadagno,guadagni,guadagna,guadagniamo,guadagnate,guadagnano,To earn,,,,,,,,,,,,
aiuto,aiuti,aiuta,aiutiamo,aiutate,aiutano,To help,,,,,,,,,,,,
ricordo,ricordi,ricorda,ricordiamo,ricordate,ricordano,To remember,,,,,,,,,,,,
tiro,tiri,tira,tiriamo,tirate,tirano,To pull,,,,,,,,,,,,
invito,inviti,invita,invitiamo,invitate,invitano,To invite,,,,,,,,,,,,
divento,diventi,diventa,diventiamo,diventate,diventano,To become,,,,,,,,,,,,
gioco,giochi,gioca,giochiamo,giocate,giocano,To play,,,,,,,,,,,,
credo,credi,crede,crediamo,credete,credono,To believe,,,,,,,,,,,,
vendo,vendi,vende,vendiamo,vendete,vendono,To sell,,,,,,,,,,,,
ripeto,ripeti,ripete,ripetiamo,ripetete,ripetono,To repeat,,,,,,,,,,,,
godo,godi,gode,godiamo,godete,godono,To enjoy,,,,,,,,,,,,
dormo,dormi,dorme,dormiamo,dormite,dormono,To sleep,,,,,,,,,,,,
servo,servi,serve,serviamo,servite,servono,To need,,,,,,,,,,,,
parto,parti,parte,partiamo,partite,partono,To leave,,,,,,,,,,,,
pulo,puli,pule,puliamo,pulite,pulono,To clean,,,,,,,,,,,,
